Member_number,basket
1797,"['sliced cheese', 'sweeteners', 'vegetables', 'cleaning', 'hard cheese', 'root vegetables', 'beverages', 'dairy', 'sweets', 'sausage']"
1798,"['pip fruit', 'beef', 'whole milk', 'pastry', 'curd', 'bottled water', 'personal_care', 'vegetables', 'yogurt', 'domestic eggs', 'beverages', 'meat', 'fish']"
1799,"['whole milk', 'tropical fruit', 'canned fish', 'pastry', 'condensed milk', 'bags', 'vegetables', 'beverages']"
1800,"['brown bread', 'dairy', 'whole milk', 'condiments', 'bottled water', 'hygiene articles', 'root vegetables', 'beverages', 'meat', 'bakery']"
1801,"['brown bread', 'stationery', 'pastry', 'soda', 'sweeteners', 'vegetables', 'beverages', 'meat', 'bakery']"
1803,"['sweets', 'ready_meals', 'soda', 'vegetables', 'yogurt', 'beverages', 'dairy', 'citrus fruit', 'bakery']"
1804,"['beef', 'whole milk', 'butter', 'berries', 'root vegetables', 'dairy', 'bakery', 'sausage']"
1805,"['stationery', 'tropical fruit', 'oils', 'soda', 'beverages', 'meat', 'citrus fruit']"
1806,"['dairy', 'butter', 'bags', 'soda', 'root vegetables', 'beverages', 'meat']"
1807,"['snacks', 'misc', 'vegetables', 'meat', 'margarine']"
1808,"['sweets', 'napkins', 'whole milk', 'tropical fruit', 'sweeteners', 'semifinished bread', 'meat', 'citrus fruit', 'bakery']"
1809,"['whole milk', 'soda', 'hard cheese', 'root vegetables', 'dairy', 'bakery']"
1810,"['pet_care', 'stationery', 'butter', 'curd', 'bottled water', 'vegetables', 'domestic eggs', 'baking_ingredients', 'meat', 'bakery']"
1811,"['ice cream', 'tropical fruit', 'pastry', 'dessert', 'bottled water', 'hygiene articles', 'vegetables', 'yogurt', 'domestic eggs', 'beverages', 'dairy', 'citrus fruit', 'bakery']"
1812,"['meat', 'margarine', 'dairy', 'yogurt']"
1813,"['meat', 'sweets', 'brown bread']"
1814,"['pip fruit', 'beef', 'whole milk', 'fruitvegetable juice', 'bottled water', 'vegetables', 'root vegetables', 'beverages', 'meat', 'bakery']"
1815,"['beef', 'butter', 'pastry', 'bottled water', 'semifinished bread', 'vegetables', 'yogurt', 'beverages', 'sausage']"
1816,"['whole milk', 'condiments', 'liquor appetizer', 'pickled vegetables', 'soda', 'jam', 'beverages', 'coffee', 'sweets']"
1817,"['canned vegetables', 'beef', 'dairy', 'whole milk', 'pastry', 'dishes', 'cleaning', 'beverages', 'meat', 'margarine']"
1818,"['specialty bar', 'butter', 'bottled water', 'vegetables', 'beverages', 'dairy', 'bakery', 'sausage']"
1819,"['pip fruit', 'pastry', 'tropical fruit', 'electronics', 'fruitvegetable juice', 'berries', 'fruits', 'soda', 'fruits_vegetables', 'sweeteners', 'grains', 'root vegetables', 'meat', 'coffee']"
1820,"['brown bread', 'spices', 'dairy', 'pastry', 'root vegetables', 'meat', 'citrus fruit']"
1821,"['napkins', 'tropical fruit', 'misc beverages', 'vegetables', 'root vegetables', 'dairy', 'coffee', 'bakery']"
1822,"['pip fruit', 'tropical fruit', 'dessert', 'bakery', 'soda', 'semifinished bread', 'vegetables', 'grains', 'beverages', 'citrus fruit', 'sweets']"
1823,"['napkins', 'whole milk', 'pastry', 'curd', 'berries', 'bottled water', 'bags', 'hygiene articles', 'meat', 'bakery']"
1824,"['stationery', 'butter', 'soda', 'sweeteners', 'yogurt', 'beverages', 'sweets', 'sausage']"
1825,"['whole milk', 'fruitvegetable juice', 'snacks', 'oils', 'uhtmilk', 'soda', 'vegetables', 'domestic eggs', 'baking_ingredients', 'beverages', 'meat', 'bakery', 'zwieback']"
1826,"['soda', 'sausage']"
1827,"['pip fruit', 'dairy', 'pet_care', 'whole milk', 'specialty bar', 'pastry', 'curd', 'condensed milk', 'bottled water', 'soda', 'vegetables', 'yogurt', 'root vegetables', 'meat', 'coffee', 'sausage']"
1828,"['brown bread', 'dessert', 'bottled water', 'fruits', 'soda', 'beverages', 'dairy', 'herbs', 'bakery']"
1829,"['pip fruit', 'brown bread', 'oils', 'personal_care', 'yogurt', 'beverages', 'meat', 'bakery']"
1830,"['meat', 'citrus fruit', 'vegetables', 'bottled water']"
1831,"['whole milk', 'condiments', 'vegetables', 'hard cheese', 'meat', 'sweets']"
1832,"['dairy', 'whole milk', 'tropical fruit', 'pastry', 'condiments', 'berries', 'decor', 'grains', 'beverages', 'meat', 'coffee', 'sweets', 'sausage']"
1833,"['whole milk', 'tropical fruit', 'dessert', 'soda', 'margarine', 'vegetables', 'yogurt', 'dairy', 'coffee', 'meat']"
1834,"['canned fish', 'berries', 'bags', 'vegetables', 'baking_ingredients', 'meat']"
1835,"['sweets', 'pip fruit', 'pastry', 'tropical fruit', 'jam', 'cleaning', 'grains', 'root vegetables', 'bakery']"
1836,"['whole milk', 'oils', 'sweeteners', 'herbs', 'margarine', 'sweets']"
1837,"['pip fruit', 'gardening', 'fruitvegetable juice', 'domestic eggs', 'yogurt', 'root vegetables', 'beverages', 'meat', 'citrus fruit', 'bakery']"
1838,"['ice cream', 'pip fruit', 'tropical fruit', 'electronics', 'snacks', 'vegetables', 'hard cheese', 'beverages', 'meat', 'sweets']"
1839,"['napkins', 'dairy', 'stationery', 'pastry', 'berries', 'beverages', 'meat', 'herbs', 'bakery', 'zwieback']"
1840,"['brown bread', 'tropical fruit', 'misc beverages', 'fruits', 'beverages']"
1841,"['pip fruit', 'margarine', 'dairy', 'sweeteners']"
1842,"['root vegetables', 'dairy', 'condiments', 'stationery']"
1843,"['soda', 'tea', 'semifinished bread', 'vegetables', 'domestic eggs', 'root vegetables', 'beverages', 'meat', 'sausage']"
1844,"['canned fruit', 'pip fruit', 'pastry', 'snacks', 'chewing gum', 'uhtmilk', 'fruits', 'vegetables', 'yogurt', 'root vegetables', 'meat', 'citrus fruit', 'sweets']"
1845,"['whole milk', 'condiments', 'vegetables', 'root vegetables', 'margarine', 'bakery']"
1846,"['misc beverages', 'oils', 'bottled water', 'root vegetables', 'beverages', 'meat', 'bakery', 'sausage']"
1847,"['stationery', 'butter', 'dessert', 'semifinished bread', 'root vegetables', 'beverages', 'meat', 'bakery']"
1848,"['whole milk', 'condiments', 'fruitvegetable juice', 'soda', 'vegetables', 'meat']"
1849,"['dairy', 'whole milk', 'butter', 'specialty bar', 'bags', 'soda', 'meat', 'bakery']"
1850,"['tropical fruit', 'condensed milk', 'fruits', 'soda', 'yogurt', 'meat', 'citrus fruit', 'margarine']"
1851,"['whole milk', 'condiments', 'curd', 'ready_meals', 'berries', 'vegetables', 'grains', 'root vegetables', 'beverages']"
1852,"['whole milk', 'tropical fruit', 'fruitvegetable juice', 'ready_meals', 'bags', 'soda', 'beverages', 'sweets']"
1853,"['ice cream', 'beef', 'dairy', 'fruitvegetable juice', 'bottled water', 'hygiene articles', 'meat', 'citrus fruit', 'sweets']"
1854,"['stationery', 'bottled water', 'vegetables', 'dairy', 'fish']"
1855,"['dairy', 'whole milk', 'snacks', 'personal_care', 'vegetables', 'domestic eggs', 'beverages', 'meat', 'margarine']"
1856,"['stationery', 'whole milk', 'tropical fruit', 'curd', 'bakery', 'root vegetables', 'meat', 'sweets']"
1857,"['sweets', 'pip fruit', 'meat', 'bakery']"
1858,"['pastry', 'hygiene articles', 'fruits_vegetables', 'yogurt', 'dairy']"
1859,"['beef', 'dairy', 'tropical fruit', 'chewing gum', 'soda', 'cleaning', 'root vegetables', 'beverages', 'meat']"
1860,"['soda', 'semifinished bread', 'bakery', 'sausage']"
1861,"['pip fruit', 'bottled water', 'vegetables', 'citrus fruit', 'bakery']"
1862,"['cookware', 'seasonal products', 'napkins', 'beef', 'butter', 'liquor appetizer', 'oils', 'soda', 'vegetables', 'grains', 'domestic eggs', 'meat', 'coffee', 'bakery']"
1863,"['seasonal products', 'dairy', 'stationery', 'tropical fruit', 'uhtmilk', 'bottled water', 'grains', 'beverages', 'meat']"
1864,"['pip fruit', 'whole milk', 'butter', 'oils', 'misc', 'cleaning', 'yogurt', 'domestic eggs']"
1865,"['ice cream', 'pip fruit', 'napkins', 'dairy', 'brown bread', 'dessert', 'oils', 'vegetables', 'yogurt', 'beverages', 'meat', 'margarine', 'bakery']"
1866,"['pip fruit', 'pet_care', 'whole milk', 'butter', 'pastry', 'bottled water', 'bakery', 'vegetables', 'yogurt', 'baking_ingredients', 'meat', 'sweets', 'sausage']"
1867,"['stationery', 'sliced cheese', 'butter', 'fruitvegetable juice', 'vegetables', 'cleaning', 'yogurt', 'root vegetables', 'dairy', 'sweet spreads']"
1868,"['stationery', 'whole milk', 'fruitvegetable juice', 'vegetables', 'yogurt', 'meat', 'sweets']"
1869,"['brown bread', 'whole milk', 'tropical fruit', 'chewing gum', 'misc beverages', 'oils', 'root vegetables', 'fish', 'sausage']"
1870,"['ice cream', 'sweets', 'brown bread', 'napkins', 'whole milk', 'sliced cheese', 'snacks', 'fruitvegetable juice', 'liquor appetizer', 'bottled water', 'bags', 'soda', 'vegetables', 'yogurt', 'baking_ingredients', 'meat', 'citrus fruit', 'bakery']"
1871,"['tropical fruit', 'dairy']"
1872,"['whole milk', 'tropical fruit', 'fruitvegetable juice', 'misc beverages', 'berries', 'vegetables', 'yogurt']"
1873,"['pastry', 'yogurt', 'beverages', 'meat', 'sausage']"
1874,"['pastry', 'oils', 'sweeteners', 'vegetables', 'yogurt', 'baking_ingredients', 'meat', 'citrus fruit']"
1875,"['oils', 'berries', 'bottled water', 'dairy', 'coffee']"
1876,"['tropical fruit', 'frozen meals']"
1877,"['sweets', 'brown bread', 'whole milk', 'butter', 'bottled water', 'bags', 'soda', 'grains', 'dairy', 'bakery']"
1878,"['sweets', 'brown bread', 'soups', 'whole milk', 'curd', 'dessert', 'misc beverages', 'uhtmilk', 'bags', 'soda', 'vegetables', 'yogurt', 'root vegetables', 'beverages', 'meat', 'citrus fruit', 'bakery', 'sausage']"
1879,"['whole milk', 'dessert', 'bakery', 'sweeteners', 'vegetables', 'yogurt', 'sweets']"
1880,"['beverages', 'vegetables', 'soda']"
1881,"['frozen dessert', 'oils', 'bottled water', 'soda', 'domestic eggs', 'baking_ingredients', 'root vegetables', 'beverages', 'dairy']"
1882,"['fruits', 'vegetables', 'root vegetables', 'meat', 'fish', 'sweets']"
1883,"['dairy', 'whole milk', 'butter', 'dishes', 'misc beverages', 'meat']"
1884,"['frozen potato products', 'uhtmilk', 'vegetables', 'domestic eggs', 'root vegetables', 'meat', 'coffee', 'bakery']"
1885,"['artif sweetener', 'specialty bar', 'butter', 'bottled water', 'soda', 'vegetables', 'dairy', 'meat', 'bakery']"
1886,"['sweets', 'beverages', 'bakery', 'curd']"
1887,"['napkins', 'dairy', 'whole milk', 'tropical fruit', 'fruitvegetable juice', 'oils', 'bottled water', 'condensed milk', 'soda', 'berries', 'vegetables', 'yogurt', 'root vegetables', 'beverages', 'meat', 'citrus fruit', 'bakery', 'sausage']"
1888,"['beef', 'dairy', 'sliced cheese', 'whole milk', 'pastry', 'yogurt', 'meat', 'bakery']"
1889,"['soups', 'beef', 'whole milk', 'condiments', 'berries', 'uhtmilk', 'decor', 'vegetables', 'sweet spreads', 'root vegetables', 'beverages', 'meat', 'herbs', 'bakery']"
1890,"['curd', 'berries', 'bakery', 'grains', 'beverages', 'meat', 'sweets']"
1891,"['whole milk', 'bottled water', 'hygiene articles', 'uhtmilk', 'bakery', 'sweets']"
1892,"['whole milk', 'butter', 'citrus fruit', 'specialty bar', 'pastry', 'oils', 'fruits', 'bags', 'honey', 'vegetables', 'yogurt', 'beverages', 'margarine', 'bakery']"
1893,"['spices', 'beef', 'snacks', 'fruitvegetable juice', 'yogurt', 'root vegetables', 'meat', 'margarine']"
1894,"['frozen potato products', 'napkins', 'dairy', 'whole milk', 'curd', 'soda', 'semifinished bread', 'vegetables', 'root vegetables', 'meat', 'citrus fruit', 'bakery']"
1895,"['soups', 'dairy', 'bottled water', 'vegetables', 'hard cheese', 'beverages', 'meat', 'specialty cheese', 'bakery']"
1896,"['brown bread', 'pip fruit', 'beef', 'light bulbs', 'stationery', 'butter', 'soda', 'sweeteners', 'cleaning', 'domestic eggs', 'yogurt', 'citrus fruit']"
1897,"['brown bread', 'dairy', 'decor', 'vegetables', 'root vegetables', 'meat', 'bakery', 'sausage']"
1898,"['beverages', 'sweeteners']"
1899,"['brown bread', 'pastry', 'fruitvegetable juice', 'ready_meals', 'chewing gum', 'dessert', 'bags', 'soda', 'vegetables', 'beverages', 'dairy', 'bakery']"
1900,"['pip fruit', 'condiments', 'bags', 'soda', 'vegetables', 'yogurt', 'beverages', 'meat', 'bakery']"
1901,"['sweets', 'brown bread', 'stationery', 'whole milk', 'tropical fruit', 'butter', 'berries', 'yogurt', 'citrus fruit', 'bakery', 'zwieback']"
1902,"['ice cream', 'dairy', 'butter', 'bags', 'yogurt', 'meat']"
1903,"['whole milk', 'tropical fruit', 'condiments', 'bottled water', 'vegetables', 'cleaning', 'beverages', 'meat', 'sweet spreads', 'margarine']"
1904,"['napkins', 'stationery', 'whole milk', 'soda', 'vegetables', 'yogurt']"
1905,"['electronics', 'vegetables', 'seasonal products', 'whole milk', 'chewing gum', 'bags', 'yogurt', 'dairy', 'meat', 'pet_care', 'fruitvegetable juice', 'soups', 'tropical fruit', 'butter', 'soda', 'sweeteners', 'domestic eggs', 'sweets', 'sausage']"
1907,"['dairy', 'stationery', 'meat', 'bakery', 'sausage']"
1908,"['ice cream', 'pip fruit', 'beef', 'whole milk', 'butter', 'fruitvegetable juice', 'condiments', 'misc beverages', 'oils', 'bottled water', 'bags', 'personal_care', 'soda', 'vegetables', 'beverages', 'dairy', 'zwieback']"
1909,"['sliced cheese', 'snacks', 'yogurt', 'meat', 'margarine', 'sausage']"
1910,"['sweets', 'spices', 'sliced cheese', 'tropical fruit', 'sweeteners', 'vegetables', 'yogurt', 'margarine', 'bakery']"
1911,"['stationery', 'tropical fruit', 'pastry', 'bags', 'yogurt', 'root vegetables']"
1912,"['gardening', 'dessert', 'misc beverages', 'liquor appetizer', 'bottled water', 'beverages']"
1913,"['sweets', 'pip fruit', 'soap', 'dairy', 'pet_care', 'whole milk', 'curd', 'misc', 'uhtmilk', 'personal_care', 'semifinished bread', 'meat', 'bakery']"
1914,"['tropical fruit', 'cereals', 'dessert', 'vegetables', 'root vegetables', 'bakery']"
1915,"['soda', 'brown bread', 'coffee', 'uhtmilk']"
1916,"['pip fruit', 'whole milk', 'curd', 'fruitvegetable juice', 'yogurt', 'domestic eggs', 'citrus fruit']"
1917,"['dairy', 'whole milk', 'pastry', 'curd', 'yogurt', 'beverages', 'meat', 'herbs', 'sausage']"
1918,"['tropical fruit', 'meat', 'beef', 'dairy']"
1919,"['frozen potato products', 'soda', 'dairy', 'beverages']"
1920,"['seasonal products', 'whole milk', 'grains', 'citrus fruit', 'specialty fat']"
1921,"['pip fruit', 'spices', 'dairy', 'napkins', 'sliced cheese', 'tropical fruit', 'bottled water', 'bakery', 'hygiene articles', 'root vegetables', 'meat', 'sweets']"
1922,"['pip fruit', 'whole milk', 'tropical fruit', 'pastry', 'butter', 'bottled water', 'fruits_vegetables', 'vegetables', 'sweeteners', 'yogurt', 'root vegetables', 'beverages', 'dairy', 'sweets', 'sausage']"
1923,"['pip fruit', 'beef', 'whole milk', 'tropical fruit', 'vegetables', 'domestic eggs', 'beverages', 'dairy', 'meat']"
1924,"['beverages', 'dessert', 'uhtmilk', 'bags', 'semifinished bread', 'vegetables', 'fruits_vegetables', 'root vegetables', 'brandy', 'dairy', 'bakery', 'sausage']"
1925,"['brown bread', 'bakery']"
1926,"['brown bread', 'whole milk', 'yogurt', 'root vegetables', 'meat']"
1927,"['tropical fruit', 'condiments', 'oils', 'grains', 'beverages', 'bakery']"
1928,"['napkins', 'stationery', 'electronics', 'pastry', 'bottled water', 'beverages', 'citrus fruit']"
1929,"['sweets', 'stationery', 'butter', 'curd', 'pastry', 'berries', 'misc', 'bottled water', 'soda', 'vegetables', 'grains', 'yogurt', 'meat', 'citrus fruit', 'bakery']"
1930,"['specialty bar', 'tropical fruit', 'condiments', 'fruitvegetable juice', 'bottled water', 'misc', 'soda', 'uhtmilk', 'meat', 'sweets']"
1931,"['pip fruit', 'brown bread', 'beef', 'dairy', 'spices', 'whole milk', 'sliced cheese', 'pastry', 'oils', 'bottled water', 'vegetables', 'meat', 'sweets']"
1932,"['pip fruit', 'pet_care', 'whole milk', 'tropical fruit', 'fruitvegetable juice', 'chewing gum', 'oils', 'uhtmilk', 'bottled water', 'vegetables', 'yogurt', 'zwieback', 'beverages', 'citrus fruit', 'sweets', 'sausage']"
1933,"['tropical fruit', 'bakery']"
1934,"['pip fruit', 'napkins', 'tropical fruit', 'fruitvegetable juice', 'curd', 'fruits', 'soda', 'sweeteners', 'vegetables', 'yogurt', 'root vegetables', 'beverages', 'dairy', 'bakery', 'sausage']"
1935,"['pip fruit', 'stationery', 'whole milk', 'condiments', 'tropical fruit', 'vegetables', 'yogurt', 'dairy', 'sweet spreads', 'margarine']"
1936,"['stationery', 'dishes', 'berries', 'meat spreads', 'vegetables', 'bakery']"
1937,"['pip fruit', 'stationery', 'whole milk', 'specialty bar', 'snacks', 'sweeteners', 'vegetables', 'baking_ingredients', 'beverages', 'dairy', 'citrus fruit']"
1938,"['specialty bar', 'tropical fruit', 'pastry', 'whole milk', 'butter', 'bottled water', 'soda', 'meat', 'bakery']"
1939,"['stationery', 'whole milk', 'tropical fruit', 'sliced cheese', 'bags', 'vegetables', 'yogurt', 'root vegetables', 'dairy', 'coffee', 'bakery']"
1940,"['sweets', 'beef', 'whole milk', 'chewing gum', 'hygiene articles', 'yogurt', 'domestic eggs', 'dairy', 'bakery']"
1941,"['napkins', 'gardening', 'whole milk', 'vegetables', 'bakery']"
1942,"['meat', 'vegetables', 'pip fruit']"
1943,"['canned fruit', 'whole milk', 'tropical fruit', 'canned fish', 'uhtmilk', 'bottled water', 'vegetables', 'beverages', 'meat']"
1944,"['meat', 'dairy', 'sweets', 'whole milk']"
1945,"['whole milk', 'tropical fruit', 'curd', 'fruitvegetable juice', 'oils', 'bottled water', 'vegetables', 'yogurt', 'beverages', 'dairy', 'meat', 'sweets']"
1946,"['cooking chocolate', 'whole milk', 'pastry', 'dessert', 'bags', 'vegetables', 'dairy', 'meat', 'sweets']"
1947,"['whole milk', 'berries', 'bakery', 'vegetables', 'beverages', 'margarine', 'sweets']"
1948,"['pip fruit', 'pet_care', 'whole milk', 'pastry', 'dessert', 'bottled water', 'uhtmilk', 'soda', 'vegetables', 'yogurt', 'baking_ingredients', 'meat', 'citrus fruit', 'margarine', 'herbs']"
1949,"['sweets', 'napkins', 'spices', 'pet_care', 'whole milk', 'tropical fruit', 'berries', 'soda', 'semifinished bread', 'vegetables', 'beverages', 'meat', 'bakery']"
1950,"['whole milk', 'sliced cheese', 'dessert', 'sweeteners', 'vegetables', 'bakery', 'sausage']"
1951,"['napkins', 'curd', 'beverages', 'herbs', 'fish', 'bakery']"
1952,"['tropical fruit', 'pastry', 'misc', 'hygiene articles', 'soda', 'vegetables', 'grains', 'beverages', 'meat']"
1953,"['citrus fruit', 'beef', 'pet_care', 'whole milk']"
1954,"['dairy', 'whole milk', 'canned fish', 'dishes', 'bags', 'vegetables', 'beverages', 'meat', 'coffee']"
1955,"['napkins', 'cereals', 'bags', 'soda', 'yogurt', 'bakery', 'sausage']"
1956,"['butter', 'snacks']"
1957,"['root vegetables', 'dairy', 'berries']"
1958,"['artif sweetener', 'whole milk', 'berries', 'vegetables', 'beverages', 'dairy', 'meat']"
1959,"['pip fruit', 'dairy', 'whole milk', 'pastry', 'fruitvegetable juice', 'tropical fruit', 'gardening', 'bottled water', 'bakery', 'semifinished bread', 'vegetables', 'cleaning', 'yogurt', 'root vegetables', 'meat', 'citrus fruit', 'sweets']"
1960,"['pastry', 'meat', 'bakery', 'yogurt']"
1961,"['brown bread', 'tropical fruit', 'sweeteners', 'vegetables', 'cleaning', 'yogurt', 'citrus fruit', 'bakery']"
1962,"['tropical fruit', 'frozen meals', 'hygiene articles', 'soda', 'vegetables', 'meat', 'citrus fruit', 'bakery', 'sausage']"
1963,"['citrus fruit', 'yogurt']"
1964,"['pip fruit', 'brown bread', 'tropical fruit', 'pickled vegetables', 'bags', 'soda', 'hygiene articles', 'vegetables', 'domestic eggs', 'hard cheese']"
1965,"['meat', 'chewing gum', 'vegetables', 'yogurt']"
1966,"['whole milk', 'condiments', 'bottled water', 'fruits', 'meat spreads', 'vegetables', 'hard cheese', 'yogurt', 'beverages', 'dairy', 'specialty cheese', 'bakery']"
1967,"['dental care', 'brown bread', 'seasonal products', 'whole milk', 'fruitvegetable juice', 'fruits', 'soda', 'vegetables', 'hard cheese', 'meat', 'bakery', 'sausage']"
1968,"['stationery', 'whole milk', 'pastry', 'tropical fruit', 'frozen meals', 'hard cheese', 'citrus fruit', 'margarine', 'bakery', 'zwieback']"
1969,"['pet_care', 'fruitvegetable juice', 'vegetables', 'jam', 'beverages', 'meat', 'citrus fruit', 'bakery', 'sausage']"
1970,"['brown bread', 'dairy', 'whole milk', 'pastry', 'curd', 'soda', 'meat', 'citrus fruit', 'bakery']"
1971,"['curd', 'fruitvegetable juice', 'dessert', 'frozen meals', 'bottled water', 'beverages', 'sausage']"
1972,"['dairy', 'fruitvegetable juice', 'grains', 'beverages', 'meat']"
1973,"['beef', 'sweets']"
1974,"['brown bread', 'frozen meals', 'fruits_vegetables', 'fish', 'sweets']"
1975,"['root vegetables', 'soups', 'bakery', 'yogurt']"
1976,"['root vegetables', 'vegetables', 'bottled water']"
1977,"['beverages', 'beef', 'whole milk']"
1978,"['cookware', 'brown bread', 'beef', 'yogurt', 'meat']"
1979,"['brown bread', 'beef', 'dairy', 'whole milk', 'pastry', 'snacks', 'frozen meals', 'bottled water', 'vegetables', 'cleaning', 'yogurt', 'root vegetables', 'meat', 'herbs', 'bakery']"
1980,"['sweets', 'brown bread', 'snacks', 'berries', 'bottled water', 'vegetables', 'grains', 'domestic eggs', 'citrus fruit', 'bakery']"
1981,"['fruitvegetable juice', 'meat', 'sweets', 'whole milk']"
1982,"['tropical fruit', 'butter', 'fruits', 'beverages', 'coffee', 'sweets']"
1983,"['ice cream', 'pip fruit', 'dairy', 'whole milk', 'pastry', 'berries', 'soda', 'cleaning', 'beverages', 'meat', 'margarine', 'bakery', 'sausage']"
1985,"['whole milk', 'dessert', 'bottled water', 'dairy', 'bakery', 'sausage']"
1987,"['sweets', 'napkins', 'fruitvegetable juice', 'yogurt', 'domestic eggs', 'meat', 'citrus fruit', 'bakery']"
1988,"['curd', 'bottled water', 'fruits', 'vegetables', 'beverages', 'dairy']"
1989,"['soda', 'oils']"
1990,"['whole milk', 'tropical fruit', 'gardening', 'yogurt', 'citrus fruit', 'bakery']"
1991,"['soap', 'stationery', 'specialty bar', 'butter', 'tropical fruit', 'fruitvegetable juice', 'soda', 'nutsprunes', 'coffee', 'vegetables', 'grains', 'yogurt', 'beverages', 'meat', 'citrus fruit', 'fish', 'bakery', 'sausage']"
1992,"['seasonal products', 'beef', 'pastry', 'vegetables', 'bakery']"
1993,"['pip fruit', 'pet_care', 'tropical fruit', 'curd', 'root vegetables', 'meat', 'bakery']"
1994,"['sweets', 'pip fruit', 'whole milk', 'fruitvegetable juice', 'soda', 'yogurt', 'beverages', 'coffee', 'bakery']"
1995,"['frozen dessert', 'brown bread', 'pet_care', 'fruitvegetable juice', 'frozen meals', 'bags', 'soda', 'vegetables', 'yogurt', 'root vegetables', 'dairy', 'margarine', 'bakery']"
1996,"['gardening', 'soda', 'domestic eggs', 'yogurt', 'root vegetables', 'beverages', 'dairy', 'bakery']"
1997,"['pip fruit', 'brown bread', 'dairy', 'stationery', 'pastry', 'pickled vegetables', 'berries', 'bottled water', 'bags', 'soda', 'cleaning', 'beverages', 'meat', 'citrus fruit', 'bakery']"
1998,"['ice cream', 'pip fruit', 'canned vegetables', 'dairy', 'whole milk', 'condiments', 'pastry', 'gardening', 'chewing gum', 'dishes', 'misc beverages', 'decor', 'vegetables', 'root vegetables', 'beverages', 'meat', 'citrus fruit', 'bakery']"
1999,"['ice cream', 'brown bread', 'pet_care', 'tropical fruit', 'butter', 'snacks', 'misc beverages', 'bags', 'hygiene articles', 'vegetables', 'beverages', 'dairy', 'coffee', 'bakery']"
2000,"['fruitvegetable juice', 'cleaning', 'beverages', 'meat', 'bakery']"
2001,"['sweets', 'napkins', 'spices', 'beef', 'whole milk', 'butter', 'cereals', 'bottled water', 'bags', 'vegetables', 'yogurt', 'root vegetables', 'dairy', 'citrus fruit', 'bakery']"
2002,"['vegetables', 'root vegetables', 'beverages', 'meat', 'bakery']"
2003,"['frozen dessert', 'brown bread', 'vegetables', 'baking_ingredients', 'beverages', 'sausage']"
2004,"['pip fruit', 'beef', 'dairy', 'tropical fruit', 'butter', 'pastry', 'oils', 'fruits', 'vegetables', 'yogurt', 'beverages', 'meat']"
2005,"['brown bread', 'pet_care', 'dessert', 'oils', 'personal_care', 'soda', 'yogurt', 'jam', 'beverages', 'meat', 'bakery']"
2006,"['frozen potato products', 'meat', 'coffee', 'gardening']"
2007,"['brown bread', 'whole milk', 'electronics', 'dessert', 'dairy']"
2008,"['whole milk', 'condiments', 'soda', 'domestic eggs', 'root vegetables']"
2009,"['tropical fruit', 'pastry', 'prosecco', 'soda', 'meat', 'bakery']"
2010,"['whole milk', 'specialty bar', 'bottled water', 'bags', 'soda', 'vegetables', 'yogurt', 'root vegetables', 'bakery']"
2011,"['pip fruit', 'dairy', 'condiments', 'fruitvegetable juice', 'uhtmilk', 'bags', 'soda', 'decor', 'vegetables', 'yogurt', 'beverages', 'meat', 'bakery']"
2012,"['bags', 'dairy', 'bakery', 'bottled water']"
2013,"['uhtmilk', 'fruits_vegetables', 'vegetables', 'yogurt', 'domestic eggs', 'bakery']"
2014,"['ice cream', 'pip fruit', 'brown bread', 'whole milk', 'dessert', 'oils', 'bottled water', 'bakery', 'vegetables', 'yogurt', 'syrup', 'dairy', 'coffee', 'sweets']"
2015,"['tropical fruit', 'beverages', 'meat', 'soda']"
2016,"['pip fruit', 'sweeteners', 'dairy', 'berries']"
2017,"['pip fruit', 'seasonal products', 'dairy', 'pet_care', 'whole milk', 'tropical fruit', 'uhtmilk', 'bakery', 'bottled water', 'nutsprunes', 'root vegetables', 'beverages', 'meat', 'coffee', 'sweets']"
2018,"['frozen potato products', 'sweets', 'tropical fruit', 'curd', 'frozen meals', 'soda', 'beverages', 'meat', 'coffee', 'bakery']"
2019,"['sweets', 'brown bread', 'tropical fruit', 'snacks', 'fruitvegetable juice', 'frozen meals', 'decor', 'vegetables', 'grains', 'dairy', 'citrus fruit', 'meat', 'bakery', 'sausage']"
2020,"['beef', 'sliced cheese', 'pastry', 'fruitvegetable juice', 'hygiene articles', 'yogurt', 'meat', 'bakery', 'sausage']"
2021,"['meat', 'whole milk']"
2022,"['sweets', 'beef', 'pet_care', 'dairy', 'whole milk', 'stationery', 'fruitvegetable juice', 'uhtmilk', 'sweeteners', 'vegetables', 'hard cheese', 'yogurt', 'beverages', 'meat', 'herbs', 'bakery', 'sausage']"
2023,"['tropical fruit', 'vegetables', 'hard cheese', 'beverages', 'dairy', 'citrus fruit', 'bakery']"
2024,"['beverages', 'margarine', 'dessert', 'yogurt']"
2025,"['brown bread', 'pet_care', 'whole milk', 'pastry', 'beverages', 'meat', 'coffee', 'sweets']"
2026,"['napkins', 'margarine', 'vegetables', 'misc beverages']"
2027,"['bags', 'domestic eggs', 'bakery', 'frozen meals']"
2028,"['spices', 'specialty bar', 'gardening', 'dessert', 'bags', 'vegetables', 'root vegetables', 'beverages', 'meat', 'coffee']"
2029,"['ice cream', 'sweets', 'beef', 'whole milk', 'bottled water', 'sweeteners', 'vegetables', 'cleaning', 'yogurt', 'meat', 'bakery']"
