Member_number,Date,itemDescription,cleaned,mapped
1456,18-09-2015,whole milk,whole milk,whole milk
2022,04-03-2015,pork,pork,meat
2505,30-11-2015,chicken,chicken,meat
4851,20-12-2015,coffee,coffee,coffee
4293,04-08-2015,sausage,sausage,sausage
2775,06-11-2015,sausage,sausage,sausage
3693,18-02-2015,bottled beer,bottled beer,beverages
1202,22-07-2015,curd cheese,curd cheese,dairy
3699,23-08-2015,frankfurter,frankfurter,meat
4152,15-04-2015,sausage,sausage,sausage
4155,26-01-2015,soda,soda,soda
4010,29-12-2015,rolls/buns,rollsbuns,bakery
4389,20-10-2015,tropical fruit,tropical fruit,tropical fruit
3746,17-08-2015,butter,butter,butter
2560,17-05-2015,frankfurter,frankfurter,meat
1503,25-07-2015,finished products,finished products,misc
2555,23-12-2015,liver loaf,liver loaf,liver loaf
3645,12-12-2015,frankfurter,frankfurter,meat
3886,11-09-2015,butter milk,butter milk,dairy
2932,20-03-2015,whole milk,whole milk,whole milk
1711,18-06-2015,whole milk,whole milk,whole milk
4291,08-12-2015,root vegetables,root vegetables,root vegetables
1143,25-04-2015,whole milk,whole milk,whole milk
4564,08-07-2015,sausage,sausage,sausage
3337,14-05-2015,waffles,waffles,bakery
4931,04-05-2015,citrus fruit,citrus fruit,citrus fruit
2623,10-10-2015,whole milk,whole milk,whole milk
4581,03-04-2015,pork,pork,meat
2635,11-06-2015,berries,berries,berries
1095,30-10-2015,bottled water,bottled water,bottled water
2990,23-05-2015,chocolate,chocolate,sweets
2426,05-06-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4555,07-11-2015,whole milk,whole milk,whole milk
3635,04-09-2015,chocolate marshmallow,chocolate marshmallow,sweets
3058,18-05-2015,chicken,chicken,meat
4391,26-03-2015,hygiene articles,hygiene articles,hygiene articles
1306,23-06-2015,pork,pork,meat
1024,10-08-2015,root vegetables,root vegetables,root vegetables
1295,23-07-2015,chicken,chicken,meat
1661,01-06-2015,root vegetables,root vegetables,root vegetables
4591,15-05-2015,pip fruit,pip fruit,pip fruit
3169,14-06-2015,pip fruit,pip fruit,pip fruit
3915,21-05-2015,bottled beer,bottled beer,beverages
1127,14-01-2015,rolls/buns,rollsbuns,bakery
4828,08-08-2015,whole milk,whole milk,whole milk
3683,10-06-2015,candy,candy,sweets
1971,18-09-2015,curd,curd,curd
3014,11-11-2015,sausage,sausage,sausage
3779,15-09-2015,frankfurter,frankfurter,meat
2489,04-05-2015,herbs,herbs,herbs
3564,27-06-2015,grapes,grapes,fruits
4092,30-09-2015,sausage,sausage,sausage
3221,13-01-2015,bottled beer,bottled beer,beverages
1279,06-09-2015,yogurt,yogurt,yogurt
2581,22-08-2015,canned beer,canned beer,beverages
2295,25-02-2015,nuts/prunes,nutsprunes,nutsprunes
4760,22-02-2015,grapes,grapes,fruits
3649,16-01-2015,grapes,grapes,fruits
1075,19-11-2015,citrus fruit,citrus fruit,citrus fruit
3987,19-08-2015,whole milk,whole milk,whole milk
4106,25-08-2015,rolls/buns,rollsbuns,bakery
4338,24-06-2015,rolls/buns,rollsbuns,bakery
4166,06-11-2015,canned beer,canned beer,beverages
1211,10-03-2015,butter,butter,butter
3954,21-01-2015,beef,beef,beef
3928,18-07-2015,soda,soda,soda
3827,30-09-2015,sausage,sausage,sausage
4699,08-02-2015,sausage,sausage,sausage
4747,08-06-2015,cream cheese ,cream cheese,dairy
3028,09-06-2015,long life bakery product,long life bakery product,bakery
2851,16-03-2015,other vegetables,other vegetables,vegetables
4417,25-02-2015,canned beer,canned beer,beverages
3822,07-03-2015,bottled water,bottled water,bottled water
2288,31-05-2015,sausage,sausage,sausage
2184,30-06-2015,pork,pork,meat
1345,21-07-2015,grapes,grapes,fruits
4441,09-11-2015,bottled beer,bottled beer,beverages
2540,16-02-2015,instant coffee,instant coffee,beverages
1997,06-06-2015,berries,berries,berries
2294,26-07-2015,citrus fruit,citrus fruit,citrus fruit
1523,28-03-2015,beef,beef,beef
3165,18-08-2015,yogurt,yogurt,yogurt
4831,12-04-2015,frozen meals,frozen meals,frozen meals
4073,02-11-2015,tropical fruit,tropical fruit,tropical fruit
3661,25-07-2015,citrus fruit,citrus fruit,citrus fruit
2019,09-10-2015,salty snack,salty snack,snacks
1092,16-05-2015,soda,soda,soda
4078,14-11-2015,beef,beef,beef
4753,21-06-2015,citrus fruit,citrus fruit,citrus fruit
1279,10-09-2015,sausage,sausage,sausage
1012,19-11-2015,root vegetables,root vegetables,root vegetables
2362,23-11-2015,frankfurter,frankfurter,meat
2789,06-02-2015,curd,curd,curd
3229,07-08-2015,curd,curd,curd
1715,03-05-2015,whole milk,whole milk,whole milk
4351,16-01-2015,whole milk,whole milk,whole milk
4397,27-06-2015,onions,onions,vegetables
3653,21-10-2015,whole milk,whole milk,whole milk
2730,10-11-2015,root vegetables,root vegetables,root vegetables
4321,27-10-2015,pip fruit,pip fruit,pip fruit
1086,17-11-2015,beef,beef,beef
1708,28-12-2015,citrus fruit,citrus fruit,citrus fruit
4293,24-08-2015,sausage,sausage,sausage
4524,22-04-2015,ice cream,ice cream,ice cream
3783,08-03-2015,ice cream,ice cream,ice cream
1460,24-06-2015,tropical fruit,tropical fruit,tropical fruit
2960,19-12-2015,tropical fruit,tropical fruit,tropical fruit
3442,12-10-2015,sparkling wine,sparkling wine,beverages
4059,07-05-2015,sausage,sausage,sausage
1822,03-03-2015,tropical fruit,tropical fruit,tropical fruit
1584,10-07-2015,long life bakery product,long life bakery product,bakery
1624,04-02-2015,whole milk,whole milk,whole milk
4877,06-11-2015,ham,ham,meat
1567,11-04-2015,frankfurter,frankfurter,meat
2018,04-01-2015,rolls/buns,rollsbuns,bakery
1182,01-09-2015,hamburger meat,hamburger meat,meat
3401,02-08-2015,condensed milk,condensed milk,condensed milk
4547,18-01-2015,whole milk,whole milk,whole milk
3547,21-10-2015,bottled beer,bottled beer,beverages
4831,06-04-2015,sausage,sausage,sausage
2851,01-01-2015,white bread,white bread,bakery
3072,28-02-2015,other vegetables,other vegetables,vegetables
1398,15-04-2015,sausage,sausage,sausage
1779,28-10-2015,beef,beef,beef
1823,27-11-2015,berries,berries,berries
3360,14-11-2015,beef,beef,beef
1565,15-10-2015,whole milk,whole milk,whole milk
4321,08-05-2015,frankfurter,frankfurter,meat
1293,05-03-2015,tropical fruit,tropical fruit,tropical fruit
3331,25-07-2015,whole milk,whole milk,whole milk
2408,19-05-2015,citrus fruit,citrus fruit,citrus fruit
2742,10-10-2015,dessert,dessert,dessert
3934,01-05-2015,whole milk,whole milk,whole milk
4742,22-06-2015,pastry,pastry,pastry
4405,22-07-2015,curd cheese,curd cheese,dairy
3229,25-03-2015,other vegetables,other vegetables,vegetables
2817,22-12-2015,male cosmetics,male cosmetics,personal_care
2741,17-02-2015,other vegetables,other vegetables,vegetables
3562,30-12-2015,finished products,finished products,misc
4442,10-06-2015,other vegetables,other vegetables,vegetables
2022,05-02-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4380,03-11-2015,berries,berries,berries
3687,22-12-2015,other vegetables,other vegetables,vegetables
2077,07-05-2015,roll products ,roll products,bakery
3273,15-03-2015,sausage,sausage,sausage
3736,27-11-2015,beef,beef,beef
3190,28-03-2015,tropical fruit,tropical fruit,tropical fruit
3295,28-07-2015,sausage,sausage,sausage
3276,30-06-2015,specialty chocolate,specialty chocolate,sweets
4405,06-01-2015,bottled water,bottled water,bottled water
4266,31-07-2015,sausage,sausage,sausage
1372,25-06-2015,whole milk,whole milk,whole milk
1242,13-12-2015,beverages,beverages,beverages
4820,01-05-2015,pastry,pastry,pastry
4702,08-11-2015,grapes,grapes,fruits
3687,16-07-2015,citrus fruit,citrus fruit,citrus fruit
4115,20-03-2015,citrus fruit,citrus fruit,citrus fruit
2236,03-02-2015,meat,meat,meat
1026,15-03-2015,salty snack,salty snack,snacks
2678,20-03-2015,finished products,finished products,misc
1934,04-08-2015,bottled beer,bottled beer,beverages
3525,14-02-2015,citrus fruit,citrus fruit,citrus fruit
1354,29-11-2015,ice cream,ice cream,ice cream
2782,09-04-2015,tropical fruit,tropical fruit,tropical fruit
4456,16-05-2015,margarine,margarine,margarine
4869,03-04-2015,soda,soda,soda
2454,26-08-2015,sausage,sausage,sausage
4222,20-08-2015,beverages,beverages,beverages
1358,11-09-2015,whipped/sour cream,whippedsour cream,dairy
3393,15-02-2015,tropical fruit,tropical fruit,tropical fruit
1615,03-12-2015,herbs,herbs,herbs
4734,12-07-2015,whole milk,whole milk,whole milk
4946,04-11-2015,yogurt,yogurt,yogurt
2419,22-08-2015,hamburger meat,hamburger meat,meat
4989,03-06-2015,pip fruit,pip fruit,pip fruit
2961,27-05-2015,frozen potato products,frozen potato products,frozen potato products
2707,07-03-2015,whole milk,whole milk,whole milk
2010,06-11-2015,whole milk,whole milk,whole milk
1502,16-04-2015,sausage,sausage,sausage
2600,29-04-2015,female sanitary products,female sanitary products,personal_care
3603,30-01-2015,beef,beef,beef
4352,14-04-2015,sausage,sausage,sausage
1477,16-05-2015,sausage,sausage,sausage
4938,24-11-2015,tropical fruit,tropical fruit,tropical fruit
2745,27-01-2015,frankfurter,frankfurter,meat
2738,09-11-2015,beef,beef,beef
4170,19-01-2015,curd,curd,curd
3776,17-05-2015,bottled water,bottled water,bottled water
1062,18-09-2015,yogurt,yogurt,yogurt
1546,03-01-2015,root vegetables,root vegetables,root vegetables
2020,19-11-2015,sliced cheese,sliced cheese,sliced cheese
2366,18-01-2015,pip fruit,pip fruit,pip fruit
1107,03-01-2015,chicken,chicken,meat
1407,29-07-2015,ham,ham,meat
3718,26-02-2015,specialty chocolate,specialty chocolate,sweets
4808,26-07-2015,fish,fish,fish
2940,21-05-2015,detergent,detergent,cleaning
3048,10-12-2015,rolls/buns,rollsbuns,bakery
3165,15-06-2015,sausage,sausage,sausage
4306,28-12-2015,coffee,coffee,coffee
4302,05-11-2015,frankfurter,frankfurter,meat
4516,29-03-2015,sausage,sausage,sausage
3582,31-03-2015,whole milk,whole milk,whole milk
1534,10-07-2015,dessert,dessert,dessert
1844,24-07-2015,pip fruit,pip fruit,pip fruit
1218,05-07-2015,sausage,sausage,sausage
4482,30-11-2015,whole milk,whole milk,whole milk
2574,11-12-2015,salty snack,salty snack,snacks
2767,27-01-2015,sausage,sausage,sausage
2794,29-09-2015,bottled beer,bottled beer,beverages
4228,26-03-2015,sweet spreads,sweet spreads,sweet spreads
3062,08-06-2015,pip fruit,pip fruit,pip fruit
2365,21-06-2015,pork,pork,meat
3775,07-07-2015,beverages,beverages,beverages
2232,06-05-2015,whole milk,whole milk,whole milk
4156,03-08-2015,tropical fruit,tropical fruit,tropical fruit
3643,20-09-2015,frankfurter,frankfurter,meat
3470,04-10-2015,sweet spreads,sweet spreads,sweet spreads
2602,11-12-2015,soups,soups,soups
4796,10-06-2015,soda,soda,soda
3289,09-08-2015,root vegetables,root vegetables,root vegetables
4470,31-03-2015,whole milk,whole milk,whole milk
2502,07-02-2015,citrus fruit,citrus fruit,citrus fruit
2205,07-03-2015,whole milk,whole milk,whole milk
3201,21-01-2015,soda,soda,soda
2882,25-06-2015,sausage,sausage,sausage
2757,16-12-2015,whipped/sour cream,whippedsour cream,dairy
3679,30-08-2015,frankfurter,frankfurter,meat
2380,12-02-2015,other vegetables,other vegetables,vegetables
1825,06-10-2015,bottled beer,bottled beer,beverages
2868,18-07-2015,pip fruit,pip fruit,pip fruit
2709,20-08-2015,citrus fruit,citrus fruit,citrus fruit
4585,16-07-2015,whipped/sour cream,whippedsour cream,dairy
2634,22-04-2015,whipped/sour cream,whippedsour cream,dairy
4832,03-12-2015,other vegetables,other vegetables,vegetables
2032,28-07-2015,tropical fruit,tropical fruit,tropical fruit
2061,27-12-2015,tropical fruit,tropical fruit,tropical fruit
2210,13-01-2015,specialty bar,specialty bar,specialty bar
2346,05-08-2015,meat,meat,meat
4315,26-04-2015,soda,soda,soda
4166,26-07-2015,yogurt,yogurt,yogurt
3907,25-10-2015,frankfurter,frankfurter,meat
2706,22-03-2015,ham,ham,meat
2855,05-08-2015,organic products,organic products,organic
2074,10-04-2015,canned beer,canned beer,beverages
2840,27-05-2015,frozen meals,frozen meals,frozen meals
2247,31-05-2015,other vegetables,other vegetables,vegetables
4063,14-07-2015,sausage,sausage,sausage
4780,03-07-2015,sausage,sausage,sausage
1081,06-03-2015,frankfurter,frankfurter,meat
4843,02-03-2015,male cosmetics,male cosmetics,personal_care
3246,27-08-2015,frozen meals,frozen meals,frozen meals
4009,14-07-2015,whole milk,whole milk,whole milk
3697,03-10-2015,UHT-milk,uhtmilk,uhtmilk
4579,29-10-2015,misc. beverages,misc beverages,misc beverages
3803,06-10-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4108,21-07-2015,root vegetables,root vegetables,root vegetables
1664,01-04-2015,frankfurter,frankfurter,meat
4179,06-03-2015,grapes,grapes,fruits
4172,18-02-2015,grapes,grapes,fruits
2851,17-02-2015,bottled beer,bottled beer,beverages
3385,22-06-2015,rolls/buns,rollsbuns,bakery
1303,08-09-2015,rolls/buns,rollsbuns,bakery
4487,22-01-2015,curd,curd,curd
2392,23-03-2015,sausage,sausage,sausage
4218,03-10-2015,frankfurter,frankfurter,meat
2891,02-07-2015,liver loaf,liver loaf,liver loaf
4474,10-12-2015,canned beer,canned beer,beverages
4437,28-07-2015,soft cheese,soft cheese,dairy
2648,08-11-2015,pork,pork,meat
1081,03-05-2015,tropical fruit,tropical fruit,tropical fruit
3071,21-01-2015,pip fruit,pip fruit,pip fruit
3409,20-05-2015,citrus fruit,citrus fruit,citrus fruit
2768,01-01-2015,meat,meat,meat
3424,16-08-2015,shopping bags,shopping bags,bags
4610,19-04-2015,hamburger meat,hamburger meat,meat
3090,04-11-2015,root vegetables,root vegetables,root vegetables
4585,01-05-2015,beef,beef,beef
4388,20-03-2015,canned beer,canned beer,beverages
3751,01-01-2015,whipped/sour cream,whippedsour cream,dairy
2650,11-05-2015,tropical fruit,tropical fruit,tropical fruit
2448,08-06-2015,tropical fruit,tropical fruit,tropical fruit
2652,26-12-2015,pastry,pastry,pastry
1385,19-11-2015,turkey,turkey,meat
2960,31-08-2015,tropical fruit,tropical fruit,tropical fruit
2736,02-03-2015,sugar,sugar,sweeteners
1768,21-04-2015,finished products,finished products,misc
2002,20-10-2015,meat,meat,meat
3046,18-11-2015,hamburger meat,hamburger meat,meat
2284,18-03-2015,pork,pork,meat
1708,18-09-2015,whole milk,whole milk,whole milk
1952,23-11-2015,pork,pork,meat
3497,08-09-2015,UHT-milk,uhtmilk,uhtmilk
1479,14-05-2015,other vegetables,other vegetables,vegetables
1237,09-04-2015,whole milk,whole milk,whole milk
4353,24-08-2015,chicken,chicken,meat
3528,18-08-2015,whole milk,whole milk,whole milk
2092,04-09-2015,pip fruit,pip fruit,pip fruit
2514,02-11-2015,rolls/buns,rollsbuns,bakery
4790,16-05-2015,root vegetables,root vegetables,root vegetables
1948,25-08-2015,frankfurter,frankfurter,meat
3581,16-01-2015,whole milk,whole milk,whole milk
4778,26-03-2015,frankfurter,frankfurter,meat
2601,26-03-2015,root vegetables,root vegetables,root vegetables
4678,31-03-2015,pip fruit,pip fruit,pip fruit
3642,24-02-2015,sausage,sausage,sausage
2957,19-09-2015,UHT-milk,uhtmilk,uhtmilk
4585,28-09-2015,pork,pork,meat
3637,10-07-2015,citrus fruit,citrus fruit,citrus fruit
1353,09-02-2015,beef,beef,beef
3257,13-02-2015,whole milk,whole milk,whole milk
2524,10-09-2015,beef,beef,beef
2035,23-12-2015,sausage,sausage,sausage
3658,26-09-2015,bottled beer,bottled beer,beverages
1901,29-11-2015,rolls/buns,rollsbuns,bakery
3247,13-01-2015,root vegetables,root vegetables,root vegetables
4308,24-01-2015,citrus fruit,citrus fruit,citrus fruit
1305,24-05-2015,tropical fruit,tropical fruit,tropical fruit
1011,09-12-2015,frankfurter,frankfurter,meat
2234,29-07-2015,sausage,sausage,sausage
3744,08-12-2015,tropical fruit,tropical fruit,tropical fruit
2903,08-08-2015,frankfurter,frankfurter,meat
3036,12-07-2015,sausage,sausage,sausage
2465,27-12-2015,tropical fruit,tropical fruit,tropical fruit
1233,20-03-2015,whipped/sour cream,whippedsour cream,dairy
1366,29-05-2015,beef,beef,beef
3741,06-08-2015,ham,ham,meat
2230,28-05-2015,tropical fruit,tropical fruit,tropical fruit
1206,15-05-2015,sausage,sausage,sausage
3690,24-04-2015,frankfurter,frankfurter,meat
3620,18-06-2015,sausage,sausage,sausage
4759,20-02-2015,frankfurter,frankfurter,meat
3543,11-10-2015,beef,beef,beef
2792,29-07-2015,frankfurter,frankfurter,meat
1929,10-07-2015,bottled water,bottled water,bottled water
2433,23-08-2015,beverages,beverages,beverages
4941,15-01-2015,canned beer,canned beer,beverages
3547,07-10-2015,pastry,pastry,pastry
1290,24-04-2015,frankfurter,frankfurter,meat
4207,28-08-2015,other vegetables,other vegetables,vegetables
2107,01-03-2015,frankfurter,frankfurter,meat
3050,11-03-2015,pork,pork,meat
3814,21-07-2015,canned beer,canned beer,beverages
4875,13-09-2015,grapes,grapes,fruits
3691,08-08-2015,bottled water,bottled water,bottled water
2433,14-03-2015,beef,beef,beef
4757,09-01-2015,herbs,herbs,herbs
1407,29-04-2015,frankfurter,frankfurter,meat
4718,12-06-2015,sausage,sausage,sausage
1240,14-04-2015,sausage,sausage,sausage
1792,15-08-2015,newspapers,newspapers,stationery
4486,09-11-2015,ham,ham,meat
1757,15-06-2015,finished products,finished products,misc
2186,01-07-2015,citrus fruit,citrus fruit,citrus fruit
3752,15-04-2015,berries,berries,berries
3051,29-11-2015,other vegetables,other vegetables,vegetables
3688,23-10-2015,soda,soda,soda
4676,15-01-2015,sausage,sausage,sausage
2142,25-06-2015,liver loaf,liver loaf,liver loaf
4939,29-06-2015,soda,soda,soda
1806,06-07-2015,beverages,beverages,beverages
1595,05-10-2015,hamburger meat,hamburger meat,meat
2086,09-03-2015,chicken,chicken,meat
4251,03-10-2015,tropical fruit,tropical fruit,tropical fruit
2689,30-04-2015,nuts/prunes,nutsprunes,nutsprunes
2560,26-11-2015,pork,pork,meat
2393,17-04-2015,grapes,grapes,fruits
1669,19-08-2015,sausage,sausage,sausage
3500,21-04-2015,soda,soda,soda
1213,03-03-2015,beef,beef,beef
4598,18-11-2015,whole milk,whole milk,whole milk
1404,03-05-2015,oil,oil,oils
1758,26-02-2015,other vegetables,other vegetables,vegetables
1265,07-03-2015,pip fruit,pip fruit,pip fruit
1006,14-06-2015,frankfurter,frankfurter,meat
2779,17-10-2015,whole milk,whole milk,whole milk
4457,03-09-2015,rolls/buns,rollsbuns,bakery
2532,06-07-2015,hamburger meat,hamburger meat,meat
2811,23-02-2015,chicken,chicken,meat
4004,10-05-2015,sausage,sausage,sausage
1737,09-05-2015,hamburger meat,hamburger meat,meat
3266,25-10-2015,sausage,sausage,sausage
4981,10-01-2015,margarine,margarine,margarine
1934,06-08-2015,grapes,grapes,fruits
2512,19-01-2015,canned beer,canned beer,beverages
3400,04-03-2015,bottled beer,bottled beer,beverages
4301,01-05-2015,hamburger meat,hamburger meat,meat
2997,30-12-2015,shopping bags,shopping bags,bags
1098,05-08-2015,citrus fruit,citrus fruit,citrus fruit
2208,30-07-2015,root vegetables,root vegetables,root vegetables
3672,28-05-2015,berries,berries,berries
3651,24-01-2015,whole milk,whole milk,whole milk
3957,15-05-2015,frankfurter,frankfurter,meat
2986,11-01-2015,other vegetables,other vegetables,vegetables
4433,25-05-2015,cream cheese ,cream cheese,dairy
3822,27-05-2015,citrus fruit,citrus fruit,citrus fruit
4588,30-04-2015,tropical fruit,tropical fruit,tropical fruit
2622,17-07-2015,other vegetables,other vegetables,vegetables
2117,02-05-2015,brown bread,brown bread,brown bread
1780,12-07-2015,specialty bar,specialty bar,specialty bar
3819,12-04-2015,processed cheese,processed cheese,dairy
1884,11-12-2015,chicken,chicken,meat
2595,23-01-2015,sausage,sausage,sausage
3046,31-03-2015,sausage,sausage,sausage
3228,26-01-2015,chicken,chicken,meat
2251,23-06-2015,cream cheese ,cream cheese,dairy
2368,11-11-2015,other vegetables,other vegetables,vegetables
2573,03-01-2015,pastry,pastry,pastry
4701,30-04-2015,soda,soda,soda
4384,25-05-2015,citrus fruit,citrus fruit,citrus fruit
1998,18-05-2015,whole milk,whole milk,whole milk
4583,23-02-2015,curd,curd,curd
2043,21-04-2015,other vegetables,other vegetables,vegetables
2201,22-05-2015,sausage,sausage,sausage
3522,23-09-2015,beef,beef,beef
3922,28-08-2015,yogurt,yogurt,yogurt
2636,11-09-2015,finished products,finished products,misc
1092,27-07-2015,grapes,grapes,fruits
2711,13-09-2015,frozen vegetables,frozen vegetables,vegetables
3899,22-04-2015,sausage,sausage,sausage
4372,30-07-2015,pork,pork,meat
4576,05-08-2015,UHT-milk,uhtmilk,uhtmilk
4953,10-10-2015,mayonnaise,mayonnaise,condiments
4692,27-10-2015,tropical fruit,tropical fruit,tropical fruit
1170,12-11-2015,turkey,turkey,meat
2625,08-04-2015,sausage,sausage,sausage
2394,30-08-2015,rolls/buns,rollsbuns,bakery
4277,18-02-2015,soda,soda,soda
3170,17-01-2015,roll products ,roll products,bakery
2229,25-10-2015,soda,soda,soda
2944,01-02-2015,sausage,sausage,sausage
2582,06-03-2015,other vegetables,other vegetables,vegetables
1373,10-05-2015,sausage,sausage,sausage
1366,25-10-2015,other vegetables,other vegetables,vegetables
3469,10-05-2015,yogurt,yogurt,yogurt
4012,16-05-2015,meat,meat,meat
2031,26-02-2015,frankfurter,frankfurter,meat
2459,16-09-2015,other vegetables,other vegetables,vegetables
4377,23-02-2015,berries,berries,berries
1534,13-08-2015,rolls/buns,rollsbuns,bakery
2051,23-07-2015,beverages,beverages,beverages
3430,26-01-2015,flour,flour,grains
1567,13-03-2015,frankfurter,frankfurter,meat
2972,21-05-2015,UHT-milk,uhtmilk,uhtmilk
1287,28-08-2015,citrus fruit,citrus fruit,citrus fruit
4776,08-08-2015,other vegetables,other vegetables,vegetables
2271,04-08-2015,whole milk,whole milk,whole milk
4657,15-08-2015,bottled beer,bottled beer,beverages
2344,14-04-2015,onions,onions,vegetables
1482,06-07-2015,whole milk,whole milk,whole milk
1278,09-12-2015,cookware,cookware,cookware
4831,13-11-2015,beef,beef,beef
1819,11-11-2015,chicken,chicken,meat
2687,31-07-2015,sausage,sausage,sausage
4468,24-03-2015,baking powder,baking powder,baking_ingredients
4760,02-04-2015,rolls/buns,rollsbuns,bakery
2310,24-03-2015,long life bakery product,long life bakery product,bakery
3924,07-02-2015,cookware,cookware,cookware
3517,11-12-2015,pip fruit,pip fruit,pip fruit
3164,30-09-2015,citrus fruit,citrus fruit,citrus fruit
3245,17-05-2015,hamburger meat,hamburger meat,meat
2629,06-12-2015,chicken,chicken,meat
1347,15-09-2015,beef,beef,beef
1216,25-08-2015,soda,soda,soda
4636,10-04-2015,ham,ham,meat
1197,22-11-2015,citrus fruit,citrus fruit,citrus fruit
1100,12-03-2015,hygiene articles,hygiene articles,hygiene articles
2054,15-12-2015,citrus fruit,citrus fruit,citrus fruit
3761,26-09-2015,bottled beer,bottled beer,beverages
4947,14-09-2015,photo/film,photofilm,electronics
1032,15-06-2015,soda,soda,soda
3353,14-08-2015,sausage,sausage,sausage
4466,20-08-2015,whole milk,whole milk,whole milk
2081,22-01-2015,citrus fruit,citrus fruit,citrus fruit
2162,19-06-2015,cat food,cat food,pet_care
3719,17-12-2015,rolls/buns,rollsbuns,bakery
3153,28-04-2015,cake bar,cake bar,sweets
4462,02-04-2015,yogurt,yogurt,yogurt
2420,27-09-2015,frankfurter,frankfurter,meat
3971,17-06-2015,sausage,sausage,sausage
1611,26-02-2015,frozen meals,frozen meals,frozen meals
1225,26-02-2015,whole milk,whole milk,whole milk
1554,21-05-2015,sausage,sausage,sausage
4624,27-11-2015,pork,pork,meat
3337,10-06-2015,root vegetables,root vegetables,root vegetables
2265,25-09-2015,waffles,waffles,bakery
4999,24-01-2015,berries,berries,berries
4102,03-11-2015,hamburger meat,hamburger meat,meat
3853,04-07-2015,waffles,waffles,bakery
2265,13-06-2015,chicken,chicken,meat
2452,11-08-2015,chicken,chicken,meat
2829,19-12-2015,frankfurter,frankfurter,meat
3926,20-08-2015,cooking chocolate,cooking chocolate,cooking chocolate
3960,21-10-2015,pork,pork,meat
3980,16-09-2015,root vegetables,root vegetables,root vegetables
1116,29-01-2015,cream cheese ,cream cheese,dairy
2663,21-10-2015,chocolate,chocolate,sweets
2164,24-11-2015,brown bread,brown bread,brown bread
3950,12-05-2015,chicken,chicken,meat
1252,13-04-2015,turkey,turkey,meat
4804,27-12-2015,other vegetables,other vegetables,vegetables
4041,07-09-2015,grapes,grapes,fruits
1894,04-08-2015,frozen potato products,frozen potato products,frozen potato products
4977,20-08-2015,dog food,dog food,pet_care
2171,03-09-2015,hamburger meat,hamburger meat,meat
3417,15-12-2015,tropical fruit,tropical fruit,tropical fruit
1175,10-06-2015,citrus fruit,citrus fruit,citrus fruit
4946,17-02-2015,sausage,sausage,sausage
4662,27-06-2015,pip fruit,pip fruit,pip fruit
2869,10-12-2015,tropical fruit,tropical fruit,tropical fruit
4053,22-03-2015,frankfurter,frankfurter,meat
4574,30-11-2015,sausage,sausage,sausage
1110,15-11-2015,baking powder,baking powder,baking_ingredients
4700,04-03-2015,bottled water,bottled water,bottled water
2565,29-04-2015,root vegetables,root vegetables,root vegetables
2468,13-03-2015,bottled beer,bottled beer,beverages
4836,13-11-2015,zwieback,zwieback,zwieback
3504,22-09-2015,root vegetables,root vegetables,root vegetables
1333,03-04-2015,sausage,sausage,sausage
4039,27-12-2015,condensed milk,condensed milk,condensed milk
2077,15-05-2015,citrus fruit,citrus fruit,citrus fruit
3519,13-12-2015,other vegetables,other vegetables,vegetables
2989,30-01-2015,pet care,pet care,pet_care
3737,05-05-2015,yogurt,yogurt,yogurt
3558,19-09-2015,pip fruit,pip fruit,pip fruit
3036,13-07-2015,whole milk,whole milk,whole milk
3180,03-07-2015,other vegetables,other vegetables,vegetables
2978,09-05-2015,meat,meat,meat
3985,23-10-2015,whole milk,whole milk,whole milk
4903,08-12-2015,rolls/buns,rollsbuns,bakery
2835,09-10-2015,ham,ham,meat
3783,22-06-2015,honey,honey,honey
1486,14-12-2015,chicken,chicken,meat
4589,08-10-2015,white wine,white wine,beverages
1132,19-02-2015,semi-finished bread,semifinished bread,semifinished bread
4827,27-11-2015,frankfurter,frankfurter,meat
3361,28-06-2015,other vegetables,other vegetables,vegetables
4681,11-09-2015,whole milk,whole milk,whole milk
4197,26-10-2015,sausage,sausage,sausage
3701,22-01-2015,tropical fruit,tropical fruit,tropical fruit
4195,01-10-2015,other vegetables,other vegetables,vegetables
3429,01-04-2015,soda,soda,soda
2430,20-01-2015,specialty bar,specialty bar,specialty bar
4330,08-04-2015,pork,pork,meat
1783,18-03-2015,butter,butter,butter
4025,04-11-2015,yogurt,yogurt,yogurt
3399,19-07-2015,tropical fruit,tropical fruit,tropical fruit
4766,03-01-2015,bottled beer,bottled beer,beverages
3562,13-08-2015,sausage,sausage,sausage
2447,21-01-2015,grapes,grapes,fruits
1396,22-07-2015,pork,pork,meat
4633,26-04-2015,citrus fruit,citrus fruit,citrus fruit
4695,05-01-2015,yogurt,yogurt,yogurt
1706,14-08-2015,brandy,brandy,brandy
3872,23-11-2015,turkey,turkey,meat
1444,14-10-2015,whole milk,whole milk,whole milk
4753,08-11-2015,finished products,finished products,misc
4580,29-11-2015,onions,onions,vegetables
2516,03-04-2015,yogurt,yogurt,yogurt
2415,08-08-2015,curd,curd,curd
3925,25-03-2015,beef,beef,beef
4996,24-11-2015,misc. beverages,misc beverages,misc beverages
4569,27-07-2015,sausage,sausage,sausage
